Country,CO,Humidity,NO2,O3,PM10,PM25,SO2,Temperature
Algeria,1.3536004086520774,71.24073556566456,8.145314421664647,11.469378098035833,37.74544554825301,62.14204431812206,3.533092366990706,18.987767727413427
Argentina,2.937571258840754,68.55486969227714,8.96478414885043,9.749098141548888,19.554257029852785,40.957165744998385,3.7403744249669963,16.864604490786792
Australia,5.019746436089459,69.34394146160612,1.9085389040918939,7.188698762019833,21.071054936378676,47.750577216929955,0.29326108423027575,13.500241783669631
Austria,0.10000000000000063,70.40131933316782,7.4539256712932644,22.22429591947509,14.515897146727172,39.24962931129008,1.2276590046923268,12.27948147228576
Bahrain,5.092049560478893,53.89546046518576,13.972873096375222,26.054101629928276,38.88023949421663,117.7555031558644,5.087667409867026,29.65599046587918
Belgium,0.10000000000000027,71.64183320162685,8.145314421664647,21.302595016963316,15.740540748538647,38.79457207412222,0.8986558828833866,13.05454866411203
Brazil,4.428733876319137,77.4715860987407,13.841790125114931,14.723838483699174,22.765606043656167,51.13789333080078,1.0514370725158648,19.797878541931404
Canada,0.3462958221301949,70.23738444738699,4.950454038314368,16.508399722247745,14.700619195046439,28.5890183308622,0.7405053223161061,9.311278082655901
China,5.579638430310114,51.22267021560047,13.972873096375222,26.054101629928276,53.216189414766546,90.09925783111372,1.7677191440613336,13.559206822006368
Colombia,5.762896387458857,69.73291253494472,6.2520382163438075,4.295808217433619,24.69730810743328,51.818381237604555,0.66190286541087,12.749747379461343
Ethiopia,5.019746436089459,63.51331529762307,12.354254151125463,22.22429591947509,35.10936050408457,72.7683074121558,0.9745154420714291,16.67248710931238
France,0.1000000000000005,73.11837824531707,13.944793627350933,20.78545060768132,19.48901327888398,43.16365946961509,0.5522015827297688,13.984519565329148
Georgia,5.092049560478893,63.23315376756792,12.456845918704262,12.992443587125674,37.74544554825301,72.29913458936402,3.5397703729014043,12.420501617323616
Ghana,5.019746436089459,81.99369312198915,11.376042945020156,15.303779908028496,20.534748062591458,78.5931537835837,3.0568232224620093,27.159587332374777
Hong Kong,5.51690135370738,73.32391205732915,17.23176336728375,20.636386359716337,24.897844702893035,56.18161057067784,2.2274817440483186,24.469106905326147
Iceland,0.1000000000000003,75.84822625082691,2.8224959966432186,8.534101680100525,7.372861218290997,14.969056868205762,1.8811753797283275,5.984843761834563
India,9.627028632741402,61.62271437129971,14.513284519855038,8.534101680100525,120.92278466727277,154.48848590237714,5.087667409867026,26.11738608695131
Italy,0.10000000000000052,64.41411503024493,11.41722971424263,19.16652551989328,20.534748062591458,46.160752211186384,0.7938388421798859,17.24471212298754
Ivory Coast,2.937571258840754,88.63840261366167,14.513284519855038,23.328862556393247,24.897844702893035,66.39102141707274,1.8811753797283275,26.902178303115573
Japan,3.5120428494955216,63.74894547194386,12.354254151125463,23.328862556393247,13.734044688916278,37.69386318855817,1.8571357390858216,18.16483517605584
Mali,9.157389851858545,36.831393446670745,15.94677337349607,25.971679562989895,38.88023949421663,132.19503015731658,5.087667409867026,26.862878901829916
Mexico,6.584611520437969,49.5038206766271,15.94677337349607,20.716117366151003,35.10936050408457,62.17297684309817,3.533092366990706,16.894688314344815
New Zealand,0.3462958221301949,69.06002155648005,1.9085389040918939,16.508399722247745,9.685200382828356,24.145039953753262,0.5522015827297688,13.467422839252215
Norway,0.10000000000000042,63.62048461761543,10.017936171576077,20.040840840840843,13.130846530707807,27.25153024258132,0.5522015827297688,8.537411693046367
Pakistan,5.51690135370738,59.79272798823452,15.483419783942857,21.302595016963316,37.74544554825301,105.4513927907453,5.21483682139116,21.356047278105745
Russia,2.8323691971409124,67.41834997484138,15.483419783942857,11.469378098035833,18.925694426598444,40.49062945041347,0.9745154420714291,8.455422918315547
Singapore,4.843181975852225,80.9289762165616,7.4539256712932644,9.748311386233054,24.939706243399083,43.27751014660556,3.0568232224620093,27.51232448442206
South Africa,9.157389851858545,55.103125478362614,6.7987256177346165,7.37246269543822,38.88023949421663,76.33393570964468,2.9846550858960783,16.064919993725415
Taiwan,4.281370906527022,78.8640312373627,11.376042945020156,22.22429591947509,23.618537873231144,46.35220142212499,2.055580623163992,23.085129104556003
Uganda,0.3462958221301949,78.45280566637838,6.2520382163438075,4.295808217433619,83.27111075570895,123.2583814160814,5.21483682139116,22.686421879692926
United Arab Emirates,0.10000000000000045,56.57513055253834,11.270426879581771,25.971679562989895,83.27111075570895,96.8857260644361,5.21483682139116,29.09606809205783
United States,1.3536004086520774,67.64169454218873,5.037143875990912,15.303779908028496,14.700619195046439,29.89464090930779,0.29326108423027575,15.15488458387835
